title	id	credits	description	prereq	coreq	notes	faculty	restrictions	terms	profs
AAAA 100	AAAA 100		AAAA				00	
Strategic Aspects of Accounting 1	ACCT 663D1		Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation. Formulating deliberate and emergent strategies, and translating those strategies into specific objectives and actions which are used in decision-making.			Students must register for both ACCT 663D1 and ACCT 663D2. | No credit will be given for this course unless both ACCT 663D1 and ACCT 663D2 are successfully completed in consecutive terms. | ACCT 663D1 and ACCT 663D2 together are equivalent to ACCT 663. | Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the fourth lecture day and withdrawal is the sixth lecture day.	Desautels Faculty of Management	Open only to students in the Graduate Certificate in Professional Accounting.
Strategic Aspects of Accounting 1	ACCT 663D2		Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation. Formulating deliberate and emergent strategies, and translating those strategies into specific objectives and actions which are used in decision-making.	ACCT 663D1		No credit will be given for this course unless both ACCT 663D1 and ACCT 663D2 are successfully completed in consecutive terms. | ACCT 663D1 and ACCT 663D2 together are equivalent to ACCT 663.	Desautels Faculty of Management	
Strategic Aspects of Accounting 2	ACCT 664	3	Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation. Emphasis is also placed on competence required to build good monitoring and control systems and perform financial analysis for different types of entities. Case scenarios are used to integrate these concepts into decision-making.			**Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the third lecture day and withdrawal is June 20, 2023. | *Desautels GCPA Prog students only. Intensive course. Add/drop May 25, w/withdrawal Jun 20.	Desautels Faculty of Management	Open only to students in the Graduate Certificate in Professional Accounting.
Strategic Aspects of Accounting 2	ACCT 664D1		Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation. Emphasis is also placed on competence required to build good monitoring and control systems and perform financial analysis for different types of entities. Case scenarios are used to integrate these concepts into decision-making.			Students must register for both ACCT 664D1 and ACCT 664D2. | No credit will be given for this course unless both ACCT 664D1 and ACCT 664D2 are successfully completed in consecutive terms. | ACCT 664D1 and ACCT 664D2 together are equivalent to ACCT 664. | Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the third lecture day and withdrawal is the fifth lecture day.	Desautels Faculty of Management	Open only to students in the Graduate Certificate in Professional Accounting.
Strategic Aspects of Accounting 2	ACCT 664D2		Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation. Emphasis is also placed on competence required to build good monitoring and control systems and perform financial analysis for different types of entities. Case scenarios are used to integrate these concepts into decision-making.	ACCT 664D1		No credit will be given for this course unless both ACCT 664D1 and ACCT 664D2 are successfully completed in consecutive terms. | ACCT 664D1 and ACCT 664D2 together are equivalent to ACCT 664.	Desautels Faculty of Management	
Practice of Taxation	ACCT 683	3	Providing taxation services and guidance, including assisting individual and corporate entities to minimize taxes and meet their objectives while complying with tax laws and regulations. Addressing compliance and tax-planning issues for both individuals and corporate entities, as well as, to a lesser extent, partnerships and trusts. Recognizing the interrelationship between financial reporting decisions and taxation, and the importance of taking taxes into account when making business and investment decisions.	ACCT 653, ACCT 654, ACCT 663, ACCT 664		Students who have received credit for this course prior to 201405 must take the course again to obtain credit for it in the Graduate Certificate in Professional Accounting.	Desautels Faculty of Management	Open only to students in the Graduate Certificate in Professional Accounting (GCPA) program.
Assurance Services	ACCT 687	3	Performing both internal audit projects and external assurance engagements; from understanding how governance plays a key role, assessing the need for an engagement, to developing and performing the procedures, through to documenting and reporting results.	ACCT 653, ACCT 654, ACCT 663, ACCT 664			Desautels Faculty of Management	Open only to students in the Graduate Certificate in Professional Accounting (GCPA) program.
Financial Business Analysis	ACCT 689	3	Developing overall finance policies and identifying, analyzing, evaluating, and recommending investment and financing decisions. Applying appropriate finance principles and conceptual approaches to determine appropriate courses of action. Providing finance-related services for an entity, either individually or as part of a larger team, understanding when the advice of a finance specialist is required, and understanding and communicating with other finance professionals.	ACCT 653, ACCT 654, ACCT 663, ACCT 664		Students who have received credit for this course prior to fall 2014 must take the course again to obtain credit for it in the Graduate Certificate in Professional Accounting.	Desautels Faculty of Management	Open only to students in the Graduate Certificate in Professional Accounting (GCPA) program.
Advanced Topics in Accounting 1	ACCT 690	3	A learning cell in which one or more students work with a faculty member.				Desautels Faculty of Management	
Integrative Analysis	ACCT 695	4	Integration of the enabling competencies and the six technical competency areas required of a CPA. Developing strategic leadership capabilities and the ability to bring an integrative perspective to decision-making including	Any two of the following	ACCT 699	This is an intensive offering. In addition to Tuesday and Thursday evening classes, there will four (4) Saturday classes offered from 9 to 3 pm. | **Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the second lecture day and withdrawal is the fourth lecture day. | *Desautels GCPA Prog students only. Intensive course. Add/drop May 17, w/withdrawal Jun 21. | **Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the third lecture day and withdrawal is June 21, 2023.	Desautels Faculty of Management	Open only to students in the Graduate Certificate in Professional Accounting.
Advanced Topics in Accounting Analytics	ACCT 696		Current emerging topics in accounting analytics. Course content will vary each term.	(INSY 660 OR INSY 662 OR Instructor's approval) AND (MGSC 660 OR MGSC 661 OR Instructor's approval)			Desautels Faculty of Management	
Exam Preparation Seminar	ACCT 699	8	Using complex and highly integrative cases that simulate real-life business issues to apply the technical and enabling competencies acquired throughout the CPA certification program. Practicing developing responses to business simulations and communicating a well-structured response.	Any two courses of the following	ACCT 695	**No web drop allowed. | **No web withdrawal allowed. | This is an intensive offering. | **Web add deadline is before the start of classes. | **No web drop allowed. | **No web withdrawal allowed.	Desautels Faculty of Management	
Seminar in Accounting	ACCT 705	3	Seminar in Accounting.				Desautels Faculty of Management	
Research Design in Accounting	ACCT 706	3	Course is designed in two parts. The first part covers major research design issues relevant to all fields of accounting. The second part addresses critical methodological issues specific to various fields of accounting research.				Desautels Faculty of Management	
Accountability and Sustainability	ACCT 707	3	The course provides an overview of key research on the broader role of accounting and accountability in shaping sustainable organizational and societal practices. The course focuses on most recent theoretical and empirical advances in two rapidly growing interrelated fields of research				Desautels Faculty of Management	
General Biology	AEBI 120	3	An introduction to core themes in biological sciences, including cell structure and function, cell replication, gene expression, genetic inheritance, biodiversity, evolution, and ecological interactions.			Fall | 2 lectures and one 3-hour lab per week	Agricultural & Environmental Sciences	Not open to students who have obtained CEGEP competency 00UK.
Cell Biology	AEBI 122	3	Introduction to key topics in cell biology, including chemical biology, cell membranes, enzymes in biological reactions, cellular energetics, cell signaling, DNA synthesis and repair, gene expression and regulatory mechanisms. Connections between cell biology and animal physiology.			Provides a basis for later courses in cell biology.	Agricultural & Environmental Sciences	Not open to students who have passed BIOL 112 or obtained CEGEP competency 00XU; not equivalent to LSCI 202.
Organisms 1	AEBI 210	3	The biology of plants and plant-based systems in managed and natural terrestrial environments. The interactions between autotrophs and soil organisms and selected groups of animals with close ecological and evolutionary connections with plants (e.g., herbivores and pollinators) will be explored in lecture and laboratory.			3 hours of lecture and 2 hours of lab, per week.	Agricultural & Environmental Sciences	
Organisms 2	AEBI 211	3	Introduction to the biology of heterotrophs, focusing on animal diversity from the perspectives of phylogenetics, physiology, and ecology. Introduction to major animal taxa, comparing and contrasting these taxa, and exploration of the relationships among them.				Agricultural & Environmental Sciences	None
Evolution and Phylogeny	AEBI 212	3	Overview of the tree of life and exploration of the central role evolution plays in the field of biology. Difficulties inherent to classifying life and critically assessing evolutionary theory among scientific and popular audiences. The importance of phylogenetics and the relationships among major groups of organisms.				Agricultural & Environmental Sciences	
Tropical Horticultural Ecology	AEBI 421	3	A comprehensive survey of the major fruit, vegetable, turf, and ornamental crops grown in Barbados. Effect of cultural practices, environment, pests and pathogens, social and touristic activities, and importation of horticultural produce on local horticulture.		AEBI 423, AEBI 425, AEBI 427	**Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the second lecture day and withdrawal is the fifth lecture day. | Project course AEBI 427 runs concurrently with the other courses (AEBI 421, AEBI 423 & AEBI 425) and the Mondays of each week are dedicated to AEBI 427.	Agricultural & Environmental Sciences	Restricted to students that are participating in the Barbados Interdisciplinary Tropical Studies Field Semester
Sustainable Land Use	AEBI 423	3	Management, preservation, and utilization of forage crops in sustainable tropical environments; examination of their value as livestock feed in terms of nutritional composition and impact on animal performance; land use issues as it pertains to forage and animal production in insular environments.		AEBI 421, AEBI 425, AEBI 427	**Since this course is being taught abroad, la F�te Nationale du Qu�bec (June 24th) and Canada Day (July 1st) statutory holidays will not be taken into consideration. Therefore, students are expected to attend their lectures on both Wednesday, June 24 and Wednesday, July 1, 2020. | **Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the third lecture day and withdrawal is the sixth lecture day. | Project course AEBI 427 runs concurrently with the other courses (AEBI 421, AEBI 423 & AEBI 425) and the Mondays of each week are dedicated to AEBI 427.	Agricultural & Environmental Sciences	Restricted to students that are participating in the Barbados Interdisciplinary Tropical Studies Field Semester
Tropical Energy and Food	AEBI 425	3	Tropical biofuel crops, conversion processes and final products, particularly energy and greenhouse gas balances and bionutraceuticals. Topics include effects of process extraction during refining on biofuel economics, the food versus fuel debate and impact of biofuels and bioproducts on tropical agricultural economics.		AEBI 421, AEBI 423 and AEBI 427	**Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the third lecture day and withdrawal is the sixth lecture day. | Project course AEBI 427 runs concurrently with the other courses (AEBI 421, AEBI 423 & AEBI 425) and the Mondays of each week are dedicated to AEBI 427.	Agricultural & Environmental Sciences	Restricted to students that are participating in the Barbados Interdisciplinary Tropical Studies Field Semester
Barbados Interdisciplinary Project	AEBI 427	6	The planning of projects and research activities related to tropical food, nutrition, or energy at the local, regional, or national scale in Barbados. Projects and activities designed in consultation with university instructors, government, NGO, or private partners, and prepared by teams of 2-3 students working cooperatively with these mentors.		AEBI 421, AEBI 423 and AEBI 425	**Since this course is being taught abroad, the Victoria Day statutory holiday will not be taken into consideration. Therefore, students are expected to attend their lecture on Monday, May 18, 2020. | **Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the second lecture day and withdrawal is the fifth lecture day. | Project course AEBI 427 runs concurrently with the other courses (AEBI 421, AEBI 423 & AEBI 425) and the Mondays of each week are dedicated to AEBI 427.	Agricultural & Environmental Sciences	Restricted to students that are participating in the Barbados Interdisciplinary Tropical Studies Field Semester
Fundamentals in Advanced Bioimaging	AEBI 665	3	Introduction to the principles of fluorescence microscopy, hands-on training on fluorescence imaging, a review of advanced fluorescence microscopy techniques with an emphasis on super-resolution microscopy, and case studies on the application of imaging techniques in biomedical research with a focus on infectious disease models.				Agricultural & Environmental Sciences	
General Chemistry 1	AECH 110	4	The course will be a study of the fundamental principles of atomic structure, valence theory and the periodic table.			Fall | 3 lectures, one 3 hour lab, and one tutorial hour	Agricultural & Environmental Sciences	Note open to students who have taken FDSC 110.
General Chemistry 2	AECH 111	4	Thermodynamics, kinetics, equilibrium, aqueous solution chemistry including applications to acids, bases and buffers and selected topics in organic chemistry.	FDSC 110 or AECH 110		Winter | 3 lectures, one 3 hour lab, and one tutorial hour	Agricultural & Environmental Sciences	Not open to students who have taken FDSC 111.
General Chemistry Laboratory 1	AECH 118	1	The laboratory component of AECH 110. Illustrative experiments.	Permission of instructor.		Fall	Agricultural & Environmental Sciences	Open only to entering students who have the lecture equivalent of AECH 110. Not open to students who have taken or are taking AECH 110, CHEM 110, or CHEM 112.
General Chemistry Laboratory 2	AECH 119	1	The laboratory component of AECH 111. Illustrative experiments.	Permission of instructor.		Winter	Agricultural & Environmental Sciences	Open only to entering students who have the lecture equivalent of AECH 111. Not open to students who have taken or are taking AECH 111, CHEM 120, or CHEM 122.
Science Literacy	AEHM 205	3	Development of English language and information literacy. Problem-based approach using science topics from specializations offered by the Faculty will be central to skill development. The course includes how to research and compose work in scientific format and will encourage a reader-oriented style.			Students whose first language is not English are encouraged to register for WCOM 295, ESL: Academic English Seminar, or equivalent, prior to starting their program.	Agricultural & Environmental Sciences	
Academic and Scientific Writing	AEHM 330	3	The object of the course is to enable students who have previously mastered the basic elements of written English to produce well-written, well-researched, and well-documented scientific papers for an academic audience and beyond.			3 hours	Agricultural & Environmental Sciences	
Calculus 1	AEMA 101	3	A review of functions and graphs. Limits, continuity, derivatives. Differentiation of elementary functions. Anti-differentiation. Applications.	a course in functions		Fall | 3 lectures	Agricultural & Environmental Sciences	
Calculus 2	AEMA 102	4	Integration, the indefinite and definite integral. Trapezoidal and Simpson's Rule approximations for the integral. Applications to areas between curves, distance, volume, length of a curve, work, area of a surface of revolution, average values, moments, etc. Improper integrals and infinite series.	Calculus 1 or equivalent		Winter | 3 lectures	Agricultural & Environmental Sciences	
Precalculus Lab	AEMA 105	1	Problem-solving			(1.0 credit) (2 lab hours per week; normally taken concurrently with AEMA 101 Calculus 1)	Agricultural & Environmental Sciences	Open only to students in FAES whose background is deficient in Precalculus mathematics. Not open to students who have taken CEGEP competency OOUP, AEMA 102, or equivalent. Not open to students who have taken AEMA 100 or MATH 112. Permission of instructor required.
Intermediate Calculus	AEMA 202	3	Partial differentiation; multiple integrals; vector calculus; infinite series; and introduction to the use of computer-based mathematical tools in applications.	BREE 103 and AEMA 102 or equivalent CEGEP objectives 00UP and 00UQ or permission of instructor		Fall | 3 lectures and 1 conference	Agricultural & Environmental Sciences	Not open to students who have taken MATH 222
Differential Equations	AEMA 305	3	First and second order differential equations, Laplace transforms, numerical solutions, systems of differential equations, series solutions, applications to biological, chemical and engineering systems, use of computer-based mathematical tools.	AEMA 202 or equivalent		Winter	Agricultural & Environmental Sciences	Not open to students who have taken MATH 315
Statistical Methods 1	AEMA 310	3	Measures of central tendency and dispersion; binomial and Poisson distributions; normal, chi-square, Student's t and Fisher-Snedecor F distributions; estimation and hypothesis testing; simple linear regression and correlation; analysis of variance for simple experimental designs.			Two 1.5-hour lectures and one 2-hour lab | Please note that credit will be given for only one introductory statistics course. Consult your academic advisor.	Agricultural & Environmental Sciences	
Environmetrics Stage	AEMA 403	3	Summer stage of at least four weeks, including a report. Provides students with professional experience in statistical analyses of environmental data. Can be undertaken at federal or provincial research stations and university research laboratories.	Permission of the instructor based on satisfactory completion of the U2 year of the Environmetrics Domain in the McGill School of Environment			Agricultural & Environmental Sciences	
Experimental Designs 01	AEMA 411	3	General principles of experimental design, split-plot designs, spatial heterogeneity and experimental design, incomplete block designs and unbalanced designs, analysis of repeated measures, multivariate and modified univariate analyses of variance, central composite designs.	AEMA 310 or equivalent		Two 1.5-hour lectures | Offered in alternate years with AEMA 414 | You may not be able to receive credit for this course and other statistic courses. Be sure to check the Course Overlap section under Faculty Degree Requirements in the Arts or Science section of the Calendar.	Agricultural & Environmental Sciences	
Temporal and Spatial Statistics 01	AEMA 414	3	Temporal statistics	AEMA 310 or equivalent		Two 1.5-hour lectures | Offered in alternate years with AEMA 411	Agricultural & Environmental Sciences	
Statistical Methods 2	AEMA 610	3	Principles of linear models, multiple regression equations and classification models. Introduction to Analysis of Variance and common statistical designs used in agricultural and environmental sciences. Emphasis on balanced and unbalanced designs and data structures; their analysis and tests of statistical significance.	AEMA 310 or equivalent		3 lectures and one 2-hour lab	Agricultural & Environmental Sciences	
Experimental Designs 1	AEMA 611	3	General principles of experimental design, split-plot designs, spatial heterogeneity and experimental design, incomplete block designs and unbalanced designs, analysis of repeated measures, multivariate and modified univariate analyses of variance, central composite designs.	AEMA 310 or equivalent		3 hours lectures and 1 conference	Agricultural & Environmental Sciences	
Temporal and Spatial Statistics 1	AEMA 614	3	Temporal statistics	AEMA 310 or equivalent		3 hours lectures and 1 conference	Agricultural & Environmental Sciences	
Introductory Physics 1	AEPH 112	4	Kinematics in one and two dimensions. Newton's laws of motion. Circular motion and orbits. Rotation of a rigid body. Momentum. Work and energy, power. Conservation principles. Simple harmonic motion. Waves and sound.		AEMA 101 or equivalent	Fall | Three 1-hour lectures, one 2-hour lab, one 1.5-hour tutorial per week	Agricultural & Environmental Sciences	Not open to students who have passed AEPH 113 or obtained CEGEP competency 00UR. Not open to students in Bioresource Engineering.
Physics 1	AEPH 113	4	Kinematics in one and two dimensions. Newton's laws of motion. Circular motion and orbits. Rotation of a rigid body. Momentum. Work and energy, power. Conservation principles. Simple harmonic motion. Waves and sound. Includes calculus-based applications.		AEMA 101 or equivalent	Three 1-hour lectures, one 2-hour lab, and one 1-hour tutorial per week. | Note: Not open to students who have taken AEPH 112, PHYS 101 or PHYS 131, and open to students in Bioresource Engineering	Agricultural & Environmental Sciences	Not open to students who have passed AEPH 112 or obtained CEGEP competency 00UR. Open only to students in Bioresource Engineering.
Introductory Physics 2	AEPH 114	4	Electric and magnetic properties of matter	AEPH 112 or AEPH 113 or PHYS 101 or PHYS 131 or CEGEP objective 00UR or equivalents, or permission of instructor	AEMA 102 (or MATH 141 or higher level calculus course) or CEGEP objective 00UP, or permission of instructor	Winter | 3 lecture hours, 2 lab hours, 2 tutorial hours	Agricultural & Environmental Sciences	Not open to students who have taken PHYS 102 or PHYS 142 or AEPH 115 or CEGEP objective 00US or equivalent. Not open to students in Bioresource Engineering.
Physics 2	AEPH 115	4	Electric forces, electric fields, electric potential. Current. Electric circuits. Magnetic fields and forces. Electromagnetic induction. Electromagnetic waves. Geometrical and physical optics. Includes calculus-based applications.	AEPH 112 or AEPH 113 or PHYS 101or PHYS 131 or equivalent.	AEMA 102 or equivalent	Three 1-hour lectures, one 2-hour lab, and one 1-hour tutorial per week | Note: Not open to students who have taken AEPH 114, PHYS 102 or PHYS 142, and open only to students in Bioresource Engineering	Agricultural & Environmental Sciences	Not open to students who have passed AEPH 114 or obtained CEGEP competencies 00US and 00UT. Open only to students in Bioresource Engineering.
Physics Laboratory 1	AEPH 120	1	The laboratory component of AEPH 112/AEPH 113. Illustrative experiments.	Permission of instructor.		Fall	Agricultural & Environmental Sciences	Open only to entering students who have the lecture equivalent of AEPH 112 or AEPH 113. Not open to students who have taken or are taking AEPH 112, AEPH 113, PHYS 101, PHYS 107, PHYS 117, PHYS 131.
